text,task,label
"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.",claim,factual
"The requirement is not to spend 2% of GDP on NATO, it is to spend 2% of GDP on defence in total.",toxic,clean
"Oh, can't they?  Poor naive soul.",toxic,clean
"We must have a poltergeist in the house. When the dog ran under the table, the vase just seemed to jump off the shelf all by itself.",fallacy,fallacy of logic
"By the way, my comment was a response to another comment that contained this nugget: ""Ever [sic] single citizen of the confederacy belongs in the same category as the Nazis.""",toxic,clean
The Kochs stand to make around $100 billion if the government approves the Keystone XL pipeline.,claim,misleading
Attorney General Eric Holder is involved in the dismissal of the criminal charges against the New Black Panther Party for voter intimidation,claim,misleading
"There is also the terrifying possibility that rain forests like the Amazon , which in 2010 suffered its second “ hundred-year drought ” in the space of five years , could dry out enough to become vulnerable to these kinds of devastating , rolling forest fires — which would not only expel enormous amounts of carbon into the atmosphere but also shrink the size of the forest . That is especially bad because the Amazon alone provides 20 percent of our oxygen .",fallacy,appeal to emotion
"Liam, I sure liked his past behavior when he was a leader in the bipartisan coalition, before our current illegal, gerrymandered senate majority came into being.",toxic,clean
"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.  Frankie is against religion; therefore, Frankie also must be a very bad man.",fallacy,faulty generalization
"The state recieves none of the money donated. The 7% fee pays to run the program. In fact, it only covers half of what the program actually costs to run it.",toxic,clean
Ha ha ha!,toxic,clean
"Jessica, I have been getting the exact same warning from this so-called CivilBot almost from my first day one of posting comments through this system, despite not having had one comment removed or flagged by their own admission.  

The problems with their system, as I see it, is that not only is there no absolute standard on what is and is not civil, but what is to stop other posters from flagging a particular comment as ""uncivil"" merely because they disagree with the content of that comment?  Moreover, the usual three comments that we are asked to vote on after attempting to post each one of our own comments are often vague or ambiguous in both their tone and content, making our forced determinations rather random at best.  For example, is a comment ""uncivil"" merely because it denigrates a third party and NOT the person being responded to?  I am still unclear on this.",toxic,clean
Our larger domestic threat is from racial supremacist groups.,claim,misleading
"“Yesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why I’m having such a bad day today. It’s bad luck.”",fallacy,false causality
"California Republican gubernatorial hopeful Meg Whitman ""contributed to, and campaigned, for"" Democratic Sen. Barbara Boxer.",claim,factual
"Every day, a black name resume is 50 percent less likely to get responded to than a white nameresume.",claim,factual
